SO2,CO,O3,PM10,PM2.5,NOx,NO,NO2,THC,NMHC,CH4,UVB,AMB_TEMP,RAINFALL,RH,WIND_SPEED,WIND_DIREC,WS_HR,WD_HR,PH_RAIN,RAIN_COND,DATE,STATION
3.3127688172043013,0.5170295698924731,19.817741935483877,86.13037634408602,46.31989247311828,25.530779569892477,5.86491935483871,19.65712365591398,1.984543010752688,0.16009408602150538,1.8259408602150535,0.0,17.818548387096776,0.0016129032258064514,76.45698924731184,2.407930107526881,264.5713709677419,1.116263440860215,275.5869623655913,0.0,0.0,2012/1,53
3.2300287356321835,0.5309482758620689,20.927298850574715,85.3103448275862,44.872126436781606,27.874712643678162,6.761781609195403,21.126867816091956,2.0685344827586207,0.1911063218390805,1.8788793103448276,0.0,18.75574712643678,0.056034482758620684,78.00718390804596,2.4441091954022993,249.41020114942532,1.1110632183908045,262.6919540229885,0.0,0.0,2012/2,53
4.411290322580645,0.5266397849462366,31.43951612903226,104.77284946236564,47.4247311827957,25.362634408602144,4.782258064516129,20.58266129032258,2.057123655913979,0.20604838709677423,1.8509408602150534,0.0,22.20967741935484,0.00860215053763441,71.51612903225806,2.281586021505377,223.3252688172043,1.2736559139784944,239.084811827957,0.0,0.0,2012/3,53
5.5784722222222225,0.44304166666666683,25.19805555555556,64.6,31.668055555555554,21.740138888888886,4.691111111111112,17.054722222222225,2.0156944444444442,0.21715277777777778,1.7986111111111107,0.0,26.233333333333338,0.2847222222222222,74.725,1.8276388888888893,187.32777777777773,1.396388888888889,187.38138888888892,0.0,0.0,2012/4,53
4.628763440860215,0.3588978494623656,28.6122311827957,41.276881720430104,23.551075268817208,17.61935483870968,4.469086021505377,13.143682795698922,1.9337365591397846,0.18483870967741933,1.7524193548387093,0.0,27.172043010752688,0.38870967741935486,74.92473118279571,1.7323924731182796,186.35067204301072,1.3245967741935485,186.91491935483867,0.0,0.0,2012/5,53
6.319305555555554,0.31602777777777774,21.416250000000005,45.583333333333336,23.61388888888889,17.916944444444443,4.4333333333333345,13.492777777777775,1.9216666666666664,0.2297361111111112,1.6906944444444443,0.0,28.120833333333334,1.1802777777777778,79.52777777777779,2.1629166666666673,187.41722222222222,1.6838888888888888,189.7855555555556,0.0,0.0,2012/6,53
3.6731182795698913,0.2524596774193549,19.28266129032258,27.358870967741932,22.489247311827956,14.52204301075269,3.810887096774193,10.717204301075268,1.7970430107526882,0.1397983870967742,1.6588709677419358,0.0,29.205645161290324,0.09220430107526882,76.1733870967742,1.8038978494623656,182.07190860215056,1.4322580645161291,176.51586021505378,0.0,0.0,2012/7,53
5.0034946236559135,0.3331317204301076,20.67338709677419,41.092741935483865,26.169354838709676,19.31922043010752,4.958602150537636,14.368817204301072,1.9219086021505378,0.20905913978494625,1.711290322580645,0.0,27.97043010752689,0.846236559139785,81.85349462365592,2.0591397849462365,168.91693548387096,1.609677419354839,164.44677419354844,0.0,0.0,2012/8,53
3.9425,0.36209722222222224,37.75652777777778,65.76805555555558,38.197222222222216,16.01861111111111,2.582083333333334,13.45319444444445,1.8805555555555555,0.13876388888888885,1.7409722222222224,0.0,28.486111111111118,0.05666666666666667,73.15416666666665,1.936805555555556,192.22375000000002,1.367777777777778,196.67444444444445,0.0,0.0,2012/9,53
4.310080645161291,0.4541263440860214,43.92231182795698,96.04166666666667,49.95161290322581,20.936290322580643,2.5512096774193553,18.37284946236559,2.020430107526881,0.17419354838709675,1.8506720430107526,0.0,25.962365591397848,0.0013440860215053762,71.75537634408602,1.8553763440860214,205.00927419354844,1.238037634408602,212.72795698924733,0.0,0.0,2012/10,53
4.31125,0.5798888888888889,30.22305555555556,99.175,50.50277777777778,27.305000000000003,5.678055555555557,21.614166666666666,2.098472222222222,0.2250277777777778,1.874722222222222,0.0,24.1875,0.08777777777777779,76.69027777777777,1.7169444444444442,205.18875,1.0456944444444445,209.99680555555557,0.0,0.0,2012/11,53
4.15510752688172,0.5705510752688172,23.5872311827957,91.84005376344086,44.96639784946235,28.574462365591405,5.317069892473118,23.296236559139782,2.086021505376345,0.20520161290322578,1.8829301075268814,0.0,20.1989247311828,0.04919354838709678,76.6505376344086,2.2205645161290324,233.8491935483871,0.9916666666666666,252.467876344086,0.0,0.0,2012/12,53
3.819489247311829,0.5694354838709678,23.86814516129032,105.38844086021506,53.575268817204304,29.61142473118279,5.66478494623656,23.949999999999996,2.0549731182795705,0.17587365591397847,1.878091397849462,0.0,18.466397849462368,0.00860215053763441,74.44758064516127,2.4498655913978493,245.81142473118277,1.0431451612903229,276.50322580645167,0.0,0.0,2013/1,53
3.3816964285714293,0.4945684523809523,32.46636904761905,108.20238095238095,48.76339285714287,21.940476190476193,3.440625,18.493601190476188,2.011160714285714,0.1555952380952381,1.856547619047618,0.0,21.428571428571434,0.0002976190476190476,73.74107142857143,2.3482142857142856,245.24791666666664,1.1416666666666666,265.52261904761906,0.0,0.0,2013/2,53
4.158333333333334,0.47587365591397845,32.789784946236566,92.6491935483871,45.8548387096774,23.04798387096774,3.920161290322581,19.141397849462365,2.016666666666667,0.17489247311827955,1.8409946236559138,0.0,23.154569892473123,0.0064516129032258064,70.54569892473118,2.130779569892473,222.9821236559139,1.236962365591398,237.69784946236564,0.0,0.0,2013/3,53
