STATION,DATE,SO2,CO,O3,PM10,PM2.5,NOx,NO,NO2
14,2012/5,3.203360215,0.519852151,29.44865591,40.26075269,24.93145161,25.86989247,5.526478495,20.33427419
14,2012/6,2.498194444,0.551597222,21.19277778,31.78611111,8.863888889,27.73458333,7.968888889,19.78527778
14,2012/7,2.419086022,0.397204301,19.43024194,38.87768817,14.46908602,20.4891129,6.337768817,14.17473118
14,2012/8,2.273521505,0.455954301,18.55510753,37.97849462,19.85080645,22.29946237,6.898790323,15.40188172
14,2012/9,2.251944444,0.432527778,29.12944444,43.78194444,23.31944444,21.65180556,5.232083333,16.42152778
14,2012/10,1.882123656,0.45094086,32.86962366,49.57526882,23.86962366,22.19556452,4.964516129,17.22056452
14,2012/11,2.722638889,0.6095,27.72819444,48.37777778,27.97916667,29.78333333,8.909027778,20.87888889
14,2012/12,2.422446237,0.59030914,21.53239247,42.67473118,23.09543011,29.19153226,8.677419355,20.52083333
46,2012/1,2.858333333,0.572836022,23.56612903,68.55913978,40.11290323,22.30591398,3.915860215,18.38077957
46,2012/2,2.958764368,0.607399425,23.93893678,71.99137931,42.3045977,24.71048851,4.68045977,20.01781609
46,2012/3,3.366397849,0.582822581,35.26962366,90.02150538,45.33333333,22.68266129,2.917741935,19.79462366
46,2012/4,3.851527778,0.461333333,33.47333333,62.39305556,29.30138889,17.05791667,1.972916667,15.10902778
46,2012/5,3.722177419,0.383736559,35.27137097,46.62768817,25.66666667,14.06733871,2.072177419,11.99704301
46,2012/6,3.073333333,0.310611111,26.89347222,36.58611111,14.71944444,8.043888889,1.402361111,6.654861111
46,2012/7,3.24905914,0.299650538,22.35430108,34.8266129,18.55241935,10.47204301,1.426747312,9.060483871
46,2012/8,3.251075269,0.375645161,25.14986559,39.16263441,22.49865591,12.68024194,1.720833333,10.97768817
46,2012/9,3.659444444,0.405263889,41.78861111,61.45694444,34.9375,13.30430556,1.299305556,11.99763889
46,2012/10,3.793413978,0.493306452,45.23158602,84.25806452,42.03494624,17.94086022,1.456451613,16.48454301
46,2012/11,4.143194444,0.654763889,34.795,75.56388889,43.45138889,23.82111111,3.09375,20.73666667
46,2012/12,3.453091398,0.596438172,27.21115591,69.66263441,40,22.73521505,3.034811828,19.71505376
62,2012/1,1.768010753,0.454798387,29.6422043,27.37231183,10.22849462,10.35013441,3.124193548,7.22311828
62,2012/2,1.565517241,0.412787356,29.98505747,21.22557471,6.607758621,9.961494253,3.149281609,6.820402299
62,2012/3,1.460483871,0.367163978,32.79475806,29.96908602,10.43413978,10.18870968,2.899193548,7.279704301
62,2012/4,1.594722222,0.402236111,33.22208333,34.55972222,15.2,9.617777778,2.358055556,7.260694444
62,2012/5,1.503763441,0.349919355,32.51922043,26.07526882,10.58333333,8.460215054,1.978091398,6.484139785
62,2012/6,1.427916667,0.339888889,18.98736111,32.40416667,6.873611111,9.580416667,3.124722222,6.456944444
62,2012/7,1.082392473,0.264973118,17.42607527,18.3561828,7.665322581,8.083333333,2.937768817,5.156854839
62,2012/8,1.048924731,0.307298387,20.20806452,28.99731183,7.103494624,8.459946237,2.62016129,5.837634409
62,2012/9,1.055833333,0.270958333,25.58597222,35.31111111,13.11527778,6.820138889,2.383194444,4.443055556
62,2012/10,1.069489247,0.307137097,34.75725806,42.87768817,16.78897849,7.243548387,1.973521505,5.276075269
62,2012/11,1.141666667,0.416833333,30.43180556,30.73194444,15.15416667,8.804027778,2.0725,6.729166667
62,2012/12,1.186021505,0.392540323,26.54852151,25.67607527,10.65456989,9.46344086,2.608064516,6.853763441
41,2012/1,2.70766129,0.307795699,36.12741935,40.28897849,27.9233871,6.890994624,1.353091398,5.540456989
41,2012/2,3.084770115,0.299712644,36.26063218,38.90373563,25.70402299,7.896695402,1.388793103,6.527586207
41,2012/3,2.963306452,0.341586022,42.13413978,58.34811828,33.50806452,10.20577957,1.818951613,8.389919355
41,2012/4,2.79625,0.285791667,39.62291667,48.72222222,31.18333333,9.00375,1.65625,7.354861111
41,2012/5,3.202956989,0.217298387,39.5436828,25.68145161,20.01344086,7.896639785,1.827150538,6.074327957
41,2012/6,2.435138889,0.157541667,31.83111111,25.74027778,15.08055556,6.135,1.539444444,4.597777778
41,2012/7,2.425268817,0.125846774,22.7875,22.99462366,15.01612903,6.654973118,1.885080645,4.780913978
41,2012/8,2.360483871,0.182688172,28.46344086,33.87903226,22.77688172,6.686290323,1.431451613,5.258602151
41,2012/9,3.364722222,0.244138889,43.56944444,66.54583333,31.17083333,9.008611111,1.589583333,7.42625
